Animal,Symptom,Disease,Cure,Medicine
Prawn,White gut,White Gut Syndrome,Improve water and feed quality,Vitamin premix + Oxygen
Prawn,Lethargy,Bacterial Infection,Broad-spectrum antibiotics,Oxytetracycline
Prawn,Muscle opacity,Muscle Necrosis,"Reduce stress, adjust salinity",Vitamin C
Fish,Rubbing against tank,Velvet Disease,"Dim light, copper treatment",Copper Sulfate
Fish,Rotting fins,Fin Rot,"Use antibacterial, isolate infected",Melafix
Fish,Rotting fins,Fin Rot,"Use antibacterial, isolate infected",Melafix
Fish,Rotting fins,Fin Rot,"Use antibacterial, isolate infected",Melafix
Fish,Rotting fins,Fin Rot,"Use antibacterial, isolate infected",Melafix
Fish,White patches,Ich,"Increase temperature, add salt",Methylene Blue
Fish,Swollen abdomen,Dropsy,"Epsom salt bath, isolate",Kanamycin
Prawn,Red gills,Gill Disease,"Reduce feed, clean water",Formalin
Prawn,Black gills,Black Gill Disease,"Use probiotics, clean bottom",Potassium permanganate
Fish,Rubbing against tank,Velvet Disease,"Dim light, copper treatment",Copper Sulfate
Fish,Rotting fins,Fin Rot,"Use antibacterial, isolate infected",Melafix
Prawn,Muscle opacity,Muscle Necrosis,"Reduce stress, adjust salinity",Vitamin C
Fish,Swollen abdomen,Dropsy,"Epsom salt bath, isolate",Kanamycin
Prawn,Black gills,Black Gill Disease,"Use probiotics, clean bottom",Potassium permanganate
Fish,Gasping at surface,Oxygen Deficiency,Aerate water,Use air stones
Prawn,Black gills,Black Gill Disease,"Use probiotics, clean bottom",Potassium permanganate
Fish,Swollen abdomen,Dropsy,"Epsom salt bath, isolate",Kanamycin
Prawn,White gut,White Gut Syndrome,Improve water and feed quality,Vitamin premix + Oxygen
Fish,Swollen abdomen,Dropsy,"Epsom salt bath, isolate",Kanamycin
Fish,Rubbing against tank,Velvet Disease,"Dim light, copper treatment",Copper Sulfate
Fish,Rotting fins,Fin Rot,"Use antibacterial, isolate infected",Melafix
Prawn,Lethargy,Bacterial Infection,Broad-spectrum antibiotics,Oxytetracycline
Prawn,Lethargy,Bacterial Infection,Broad-spectrum antibiotics,Oxytetracycline
Fish,White patches,Ich,"Increase temperature, add salt",Methylene Blue
Fish,Rotting fins,Fin Rot,"Use antibacterial, isolate infected",Melafix
Prawn,Black gills,Black Gill Disease,"Use probiotics, clean bottom",Potassium permanganate
Fish,Gasping at surface,Oxygen Deficiency,Aerate water,Use air stones
Fish,Rubbing against tank,Velvet Disease,"Dim light, copper treatment",Copper Sulfate
Fish,Swollen abdomen,Dropsy,"Epsom salt bath, isolate",Kanamycin
Fish,Rubbing against tank,Velvet Disease,"Dim light, copper treatment",Copper Sulfate
Fish,Swollen abdomen,Dropsy,"Epsom salt bath, isolate",Kanamycin
